Товарная группа;Артикул;Наименование товара;Цена;Ссылка на детальную страницу
Средства моющие универсальные;БХ-050040;Средство моющее универсальное   500мл для любых поверхностей, покрытий INTERIOR CLEANER   ''BELGIUM''   1/7/21;565.15;http://almin.ru/goods/sredstvo-chistyashchee-universalnoe-500ml-dlya-lyubykh-poverkhnostey-pokrytiy-interior-cleaner-belgi/
Средства моющие универсальные;БХ-100059;Средство моющее кислотное беспенное   25л для удаления извести, ржавчины, белка ACINET 200 канистра   ''BELGIUM''   1/1;7259.28;http://almin.ru/goods/sredstvo-chistyashchee-kislotnoe-bespennoe-25l-dlya-udaleniya-izvesti-rzhavchiny-belka-acinet-200-ka/
Средства моющие универсальные;БХ-501702;Средство моющее кислотное   5л для удаления извести, остатков цемента ATC 350 канистра   ''BELGIUM''   1/4;1926.06;http://almin.ru/goods/sredstvo-chistyashchee-kislotnoe-5l-dlya-udaleniya-izvesti-ostatkov-tsementa-atc-350-kanistra-belgiu/
Средства моющие универсальные;БХ-100035;Средство моющее кислотное пенное   25л для удаления извести, ржавчины, белка, сахара ACINET 100   ''BELGIUM''   1/1;8087.52;http://almin.ru/goods/sredstvo-chistyashchee-kislotnoe-pennoe-25l-dlya-udaleniya-izvesti-rzhavchiny-belka-sakhara-acinet-1/
Средства моющие универсальные;БХ-501030;Средство моющее универсальное   5л для любых поверхностей, покрытий INTERIOR CLEANER канистра   ''BELGIUM''   1/4;1627.25;http://almin.ru/goods/sredstvo-chistyashchee-universalnoe-5l-dlya-lyubykh-poverkhnostey-pokrytiy-interior-cleaner-kanistra/
Средства моющие универсальные;БХ-100257;Средство моющее щелочное пенное   25л для удаления промышленных загрязнений ALKALINET 100 канистра   ''BELGIUM''   1/1;9159.36;http://almin.ru/goods/sredstvo-moyushchee-shchelochnoe-pennoe-25l-dlya-udaleniya-promyshlennykh-zagryazneniy-alkalinet-100/
Средства моющие универсальные;БХ-100271;Средство моющее щелочное пенное дезинфицирующее   25л для удаления промышленных загрязнений ALKALINET 200 канистра   ''BELGIUM''   1/1;7584.08;http://almin.ru/goods/sredstvo-moyushchee-shchelochnoe-pennoe-dezinfitsiruyushchee-25l-dlya-udaleniya-promyshlennykh-zagrya/
Средства моющие универсальные;БХ-501283А;Средство моющее кислотное   5л для изделий из искуственного камня BLITZ BRILIANT FINISH канистра   ''BELGIUM''   1/4;3179.79;http://almin.ru/goods/sredstvo-moyushchee-kislotnoe-5l-dlya-izdeliy-iz-iskustvennogo-kamnya-blitz-briliant-finish-kanistra/
Средства моющие универсальные;CD-017;Средство моющее универсальное   5л KENOLUX MULTI ACTIОN канистра   ''CID LINES''   1/4;1725.70;http://almin.ru/goods/sredstvo-chistyashchee-universalnoe-5l-kenolux-multi-action-kanistra-cid-lines-1-4/
Средства моющие универсальные;CD-002;Средство моющее универсальное   1л MULTIFRESH курок   1/12;445.20;http://almin.ru/goods/sredstvo-chistyashchee-universalnoe-1l-multifresh-kurok-1-12/
Средства моющие универсальные;CD-001а;Средство моющее универсальное   500мл MULTIFRESH курок   1/1;123.83;http://almin.ru/goods/sredstvo-chistyashchee-universalnoe-500ml-multifresh-kurok-1-1/
Средства моющие универсальные;CD-001;Средство моющее универсальное   5л MULTIFRESH канистра   ''CID LINES''   1/4;1204.14;http://almin.ru/goods/sredstvo-chistyashchee-universalnoe-5l-multifresh-kanistra-cid-lines-1-4/
Средства моющие универсальные;CD-015;Средство моющее универсальное   1л DX 100   ''CID LINES''   1/12;1711.70;http://almin.ru/goods/sredstvo-chistyashchee-universalnoe-1l-dx-100-cid-lines-1-12/
Средства моющие универсальные;PG-8253б;Средство моющее универсальное   500мл COMET гель ЛИМОН   ''P&G''   1/12;118.02;http://almin.ru/goods/sredstvo-chistyashchee-universalnoe-500ml-comet-gel-limon-pg-1-12/
Средства моющие универсальные;N-50004;Средство моющее универсальное   5л ЗОЛУШКА канистра ХВОЙНАЯ СВЕЖЕСТЬ   ''АМС''   1/1;164.39;http://almin.ru/goods/sredstvo-moyushchee-universalnoe-5l-zolushka-kanistra-khvoynaya-svezhest-ams-1-1/
Средства моющие универсальные;N-50006;Средство моющее универсальное   5л ПРОГРЕСС канистра   ''АМС''   1/1;170.98;http://almin.ru/goods/sredstvo-moyushchee-universalnoe-5l-progress-kanistra-ams-1-1/
Средства моющие универсальные;N-50007;Средство моющее универсальное   1л ПРОГРЕСС NEW   ''АМС''   1/12;34.12;http://almin.ru/goods/sredstvo-moyushchee-universalnoe-1l-progress-new-ams-1-12/
Средства моющие универсальные;S-165560а;Средство моющее универсальное   500мл МИСТЕР МУСКУЛ для кухни запасной блок   ''SCJ''   1/12;163.66;http://almin.ru/goods/sredstvo-chistyashchee-universalnoe-450ml-dlya-kukhni-mister-muskul-zapasnoy-blok-scj-1-12/
Средства моющие универсальные;S-206940;Средство моющее универсальное   500мл МИСТЕР МУСКУЛ для кухни курок   ''SCJ''   1/12;236.42;http://almin.ru/goods/sredstvo-chistyashchee-universalnoe-450ml-dlya-kukhni-mister-muskul-kurok-scj-1-12/
Средства моющие универсальные;PG-14010;Средство моющее универсальное   5л Mr.PROPER канистра ЛИМОН   ''P&G''   1/1;815.49;http://almin.ru/goods/sredstvo-moyushchee-universalnoe-5l-mrproper-kanistra-limon-pg-1-1/
Средства моющие универсальные;БХ-51005;Средство моющее универсальное   5л ПРОГРЕСС ПЭТ   ''АМС''   1/4;128.66;http://almin.ru/goods/sredstvo-moyushchee-universalnoe-5l-progress-pet-ams-1-4/
Средства моющие универсальные;БХ-97542;Средство моющее универсальное   700мл БЕЛИЗНА-ГЕЛЬ SANFOR 3 в 1 концентрат с дезинфицирующим эффектом   ''СХЗ''   1/15;85.23;http://almin.ru/goods/otbelivatel-zhidkiy-700ml-belizna-gel-sanfor-3-v-1-kontsentrat-skhz-1-15/
Средства моющие универсальные;БХ-190913;Средство моющее универсальное   5л DOMESTOS PROFESSIONAL канистра   ''UNILEVER''   1/1;904.72;http://almin.ru/goods/sredstvo-chistyashchee-universalnoe-5l-domestos-professional-unilever-1-1/
Средства моющие универсальные;БХ-102510;Средство моющее универсальное   500мл ПРОГРЕССА ФОРМУЛА SELENA   1/24;29.58;http://almin.ru/goods/sredstvo-moyushchee-universalnoe-500ml-progressa-formula-selena-1-24/
Средства моющие универсальные;БХ-280915;Средство моющее универсальное   700мл БЕЛИЗНА-ГЕЛЬ с дезинфицирующим эффектом   1/20;52.39;http://almin.ru/goods/otbelivatel-zhidkiy-700ml-belizna-gel-1-20/
Средства моющие универсальные;БХ-102410;Средство моющее универсальное   1л ПРОГРЕССА ФОРМУЛА SELENA   1/12;46.14;http://almin.ru/goods/sredstvo-moyushchee-universalnoe-1l-progressa-formula-selena-1-12/
Средства моющие универсальные;БХ-102610;Средство моющее универсальное   5л ПРОГРЕССА ФОРМУЛА SELENA канистра   1/4;213.82;http://almin.ru/goods/sredstvo-moyushchee-universalnoe-5l-progressa-formula-selena-kanistra-1-1/
Средства моющие универсальные;БХ-102710;Средство моющее   500мл SELENA для холодильников курок   1/12;79.17;http://almin.ru/goods/sredstvo-moyushchee-500ml-selena-antibakterialnoe-dlya-kholodilnikov-kurok-1-12/
Средства моющие универсальные;БХ-1543;Средство моющее универсальное   750мл SANFOR UNIVERSAL МОРСКОЙ БРИЗ   ''СХЗ''   1/15;78.55;http://almin.ru/goods/sredstvo-chistyashchee-dlya-santekhniki-wc-750ml-sanfor-universal-10v1-morskoy-briz-skhz-1-15/
Средства моющие универсальные;БХ-2794;Средство моющее универсальное   750мл ЧИСТИН УНИВЕРСАЛ   ''СХЗ''   1/14;51.26;http://almin.ru/goods/sredstvo-chistyashchee-dlya-santekhniki-wc-750ml-chistin-universal-chlorum-skhz-1-14/
Средства моющие универсальные;БХ-1542;Средство моющее универсальное   750мл SANFOR UNIVERSAL ЗЕЛЕНОЕ ЯБЛОКО   ''СХЗ''   1/15;78.55;http://almin.ru/goods/sredstvo-chistyashchee-dlya-santekhniki-wc-750ml-sanfor-universal-10v1-zelenoe-yabloko-skhz-1-15/
Средства моющие универсальные;БХ-140476;Средство моющее универсальное   5л ПРОГРЕССИВНОЕ канистра   ''ТБХ''   1/1;158.75;http://almin.ru/goods/sredstvo-moyushchee-universalnoe-5l-progressivnoe-kanistra-tbkh-1-1/
Средства моющие универсальные;БХ-150476;Средство моющее универсальное   5л ПРОГРЕССВНОЕ канистра ПЭТ   ''ТБХ''   1/3;117.81;http://almin.ru/goods/sredstvo-moyushchee-universalnoe-5l-progressvnoe-kanistra-pet-tbkh-1-3/
Средства моющие универсальные;БХ-180476;Средство моющее универсальное   1л САНИТАРНЫЙ   ''ТБХ''   1/12;43.79;http://almin.ru/goods/sredstvo-moyushchee-universalnoe-1l-sanitarnyy-tbkh-1-12/
Средства моющие универсальные;БХ-190476;Средство моющее универсальное   1л САНИТАРНЫЙ ГЕЛЬ   ''ТБХ''   1/12;48.84;http://almin.ru/goods/sredstvo-moyushchee-universalnoe-1l-sanitarnyy-gel-tbkh-1-12/
Средства моющие универсальные;БХ-50015;Средство моющее для посуды   5л ЗОЛУШКА канистра ПЭТ ЛИМОН   ''АМС''   1/4;126.60;http://almin.ru/goods/sredstvo-moyushchee-dlya-posudy-5l-zolushka-kanistra-pet-limon-ams-1-1/
Средства моющие универсальные;БХ-001408;Средство моющее универсальное   5л ХРУСТАЛИК канистра ЛИМОН   1/1;123.25;http://almin.ru/goods/sredstvo-moyushchee-universalnoe-5l-khrustalik-kanistra-limon-1-1/
Средства моющие универсальные;БХ-001509;Средство моющее универсальное   5л ХРУСТАЛИК канистра ПЭТ ЛИМОН   1/1;108.75;http://almin.ru/goods/sredstvo-moyushchee-universalnoe-5l-khrustalik-kanistra-pet-limon-1-1/
Средства от насекомых и грызунов;БХ-76015;Средство от тараканов   4 шт/уп ловушка COMBAT   ''CLOROX''   1/32;263.26;http://almin.ru/goods/lovushka-ot-tarakanov-4-sht-up-combat-clorox-1-32/
Средства от насекомых и грызунов;БХ-54006;Средство от тараканов   6 шт/уп ловушка COMBAT   ''CLOROX''   1/12;363.67;http://almin.ru/goods/lovushka-ot-tarakanov-6-sht-up-combat-clorox-1-12/
Средства от насекомых и грызунов;БХ-54008;Средство от тараканов   500мл аэрозоль COMBAT SUPER SPRAY ЗОЛОТОЙ   ''CLOROX''   1/12;439.35;http://almin.ru/goods/sredstvo-ot-tarakanov-500ml-combat-super-spray-aerozol-clorox-1-12/
Средства от насекомых и грызунов;БХ-220112;Средство от крыс   2 шт/уп клеевая пластина MR. MOUSE   1/24/96;76.86;http://almin.ru/goods/lovushka-ot-krys-2-sht-up-kleevaya-plastina-mr-mouse-1-24-96/
Средства от насекомых и грызунов;БХ-240614;Средство от мух   1 шт ловушка клеевая   1/100/1000;8.79;http://almin.ru/goods/lenta-kleykaya-dlya-ulavlivaniya-mukh-grinn-1-100-1000/
Средства от насекомых и грызунов;БХ-49055;Средство от насекомых   200мл аэрозоль ДИХЛОФОС MR.VOLT универсальное   ''GD''   1/24;73.85;http://almin.ru/goods/sredstvo-ot-nasekomykh-200ml-universalnoe-dikhlofos-mrvolt-aerozol-1-24/
Средства от насекомых и грызунов;БХ-020315;Средство от тараканов   30г гель ДОХЛОКС в шприце   1/48;51.26;http://almin.ru/goods/gel-ot-tarakanov-30g-dokhloks-shprits-1-48/
Средства от насекомых и грызунов;БХ-32507;Средство от моли   15г подвесной блок ЭФФЕКТ ЛАВАНДА   ''АМС''   1/50;14.65;http://almin.ru/goods/sredstvo-ot-moli-15g-effekt-podvesnoy-blok-lavanda-ams-1-50/
Средства от насекомых и грызунов;БХ-906788;Средство от крыс и мышей   150г/уп приманка на 16 доз RUBIT ТРИКОТА   1/50;58.58;http://almin.ru/goods/sredstvo-ot-krys-i-myshey-16doz-rubit-trikota-1-50/
Средства от насекомых и грызунов;БХ-900030;Средство от крыс и мышей   100 г/уп приманка на 8 доз КРЫСИНАЯ СМЕРТЬ №1   1/100;36.61;http://almin.ru/goods/sredstvo-ot-krys-i-myshey-100-g-up-krysinaya-smert-1-100/
Средства от насекомых и грызунов;БХ-907822;Средство от насекомых   600мл аэрозоль ДИХЛОФОС OT универсальное БЕЗ ЗАПАХА   1/12;234.32;http://almin.ru/goods/sredstvo-ot-nasekomykh-600ml-universalnoe-bez-zapakha-dikhlofos-ot-sprey-1-12/
Средства от насекомых и грызунов;БХ-010315А;Средство от тараканов   6 шт/уп ловушка ДОХЛОКС   1/24;102.52;http://almin.ru/goods/lovushka-ot-tarakanov-6-sht-up-dokhloks-1-24/
Средства от насекомых и грызунов;БХ-250915;Средство от тараканов   400мл аэрозоль COMBAT SUPER SPRAY PLUS ЖЕЛТЫЙ   ''CLOROX''   1/12;397.50;http://almin.ru/goods/sredstvo-ot-tarakanov-400ml-combat-super-spray-plus-aerozol-zheltyy-clorox-1-12/
Средства от насекомых и грызунов;БХ-240915;Средство от тараканов   400мл аэрозоль COMBAT MULTI SPRAY КРАСНЫЙ   ''CLOROX''   1/12;351.48;http://almin.ru/goods/sredstvo-ot-tarakanov-400ml-combat-multi-spray-aerozol-krasnyy-clorox-1-12/
Средства от насекомых и грызунов;БХ-76016;Средство от тараканов и муравьев   1 шт/уп ловушка клеевая домик ARGUS   1/120/600;20.50;http://almin.ru/goods/lovushka-ot-tarakanov-i-muravev-1-sht-up-kleevaya-domik-argus-1-120-600/
Средства от насекомых и грызунов;ПЛ-743;Мухобойка   ПЛАСТИКОВАЯ   ''ПОЛИМЕРБЫТ''   1/25;21.64;http://almin.ru/goods/mukhoboyka-plastikovaya-polimerbyt-1-25/
Средства от насекомых и грызунов;БХ-280617;Средство от комаров   электрофумигатор + жидкость 45 ночей ARGUS БЕЗ ЗАПАХА   1/24;112.19;http://almin.ru/goods/sredstvo-ot-komarov-elektrofumigator-zhidkost-45-nochey-argus-bez-zapakha-1-24/
Средства от насекомых и грызунов;БХ-270617;Средство от комаров   1 шт/уп свеча антимоскитная ARGUS   1/36;91.44;http://almin.ru/goods/sredstvo-ot-komarov-1-sht-up-svecha-antimoskitnaya-argus-1-36/
Средства от насекомых и грызунов;БХ-290617;Средство от комаров   10 шт/уп спирали бездымные ARGUS   1/60;56.01;http://almin.ru/goods/sredstvo-ot-komarov-10-sht-up-spirali-bezdymnye-argus-1-60/
Средства чистящие универсальные;YPL-150013;Средство чистящее универсальное   700мл крем ЛИМОН   ''YPLON''   1/12;111.36;http://almin.ru/goods/sredstvo-chistyashchee-universalnoe-700ml-krem-limon-yplon-1-12/
Средства чистящие универсальные;PG-1091;Порошок чистящий универсальный   475г COMET ОКЕАН   ''P&G''   1/20;54.66;http://almin.ru/goods/poroshok-chistyashchiy-universalnyy-400g-comet-okean-pg-1-20/
Средства чистящие универсальные;БХ-10205а;Средство чистящее универсальное   500мл CIF CREAM FRESH   ''UNILEVER''   1/16;168.34;http://almin.ru/goods/sredstvo-chistyashchee-universalnoe-500ml-cif-cream-fresh-unilever-1-16/
Средства чистящие универсальные;БХ-10496;Средство чистящее универсальное   500мл CIF CREAM LEMON   ''UNILEVER''   1/16;168.34;http://almin.ru/goods/sredstvo-chistyashchee-universalnoe-500ml-cif-cream-lemon-unilever-1-16/
Средства чистящие универсальные;PG-2834;Порошок чистящий универсальный   400г COMET в п/п ЛИМОН   ''P&G''   1/20;47.21;http://almin.ru/goods/poroshok-chistyashchiy-universalnyy-400g-comet-v-p-p-limon-pg-1-20/
Средства чистящие универсальные;PG-1090;Порошок чистящий универсальный   475г COMET ЛИМОН   ''P&G''   1/20;54.66;http://almin.ru/goods/poroshok-chistyashchiy-universalnyy-400g-comet-limon-pg-1-20/
Средства чистящие универсальные;БХ-210514;Порошок чистящий универсальный   400г ПЕМОКСОЛЬ ПЭТ ЛИМОН   ''СХЗ''   1/20;38.25;http://almin.ru/goods/poroshok-chistyashchiy-universalnyy-400g-pemoksol-pet-skhz-1-20/
Средства чистящие универсальные;БХ-141;Средство чистящее универсальное   300мл ЗОЛУШКА крем АПЕЛЬСИН   ''АМС''   1/20;26.40;http://almin.ru/goods/sredstvo-chistyashchee-universalnoe-300ml-zolushka-krem-apelsin-ams-1-20/
Средства чистящие универсальные;БХ-142;Средство чистящее универсальное   300мл ЗОЛУШКА крем ЛИМОН   ''АМС''   1/20;26.40;http://almin.ru/goods/sredstvo-chistyashchee-universalnoe-300ml-zolushka-krem-limon-ams-1-20/
Средства чистящие универсальные;БХ-143;Средство чистящее универсальное   300мл ЗОЛУШКА крем ЯБЛОКО   ''АМС''   1/20;26.40;http://almin.ru/goods/sredstvo-chistyashchee-universalnoe-300ml-zolushka-krem-yabloko-ams-1-20/
Средства чистящие универсальные;БХ-935062;Порошок чистящий универсальный   480г ПЕМОЛЮКС ПЭТ ЛИМОН   ''HENKEL''   1/36;70.58;http://almin.ru/goods/poroshok-chistyashchiy-universalnyy-480g-pemolyuks-pet-limon-henkel-1-1/
Средства чистящие универсальные;БХ-935072;Порошок чистящий универсальный   480г ПЕМОЛЮКС ПЭТ МОРСКОЙ БРИЗ   ''HENKEL''   1/36;70.58;http://almin.ru/goods/poroshok-chistyashchiy-universalnyy-480g-pemolyuks-pet-morskoy-briz-henkel-1-36/
Средства чистящие универсальные;БХ-310815;Средство чистящее универсальное   500мл CIF CREAM ULTRA WHITE   ''UNILEVER''   1/16;149.82;http://almin.ru/goods/sredstvo-chistyashchee-universalnoe-500ml-cif-cream-ultra-white-unilever-1-16/
Средства чистящие универсальные;YPL-15012А;Порошок чистящий универсальный   1кг СВЕЖЕСТЬ   ''YPLON''   1/15;128.96;http://almin.ru/goods/poroshok-chistyashchiy-universalnyy-1kg-svezhest-yplon-1-15/
Средства чистящие универсальные;БХ-101410;Средство чистящее универсальное   500мл SANITOL 5в1 крем   1/12;51.72;http://almin.ru/goods/sredstvo-chistyashchee-universalnoe-500ml-sanitol-5v1-krem-1-12/
Средства чистящие универсальные;БХ-2853;Средство чистящее универсальное   300мл SANITA крем ЗЕЛЕНЫЙ ЧАЙ +ЛАЙМ   ''СХЗ''   1/20;55.39;http://almin.ru/goods/sredstvo-chistyashchee-universalnoe-300ml-sanita-krem-zelenyy-chay-laym-skhz-1-20/
Средства чистящие универсальные;БХ-1792;Порошок чистящий универсальный   400г SANITA АНТИЖИР ПЭТ   ''СХЗ''   1/20;40.58;http://almin.ru/goods/poroshok-chistyashchiy-400g-sanita-antizhir-pet-skhz-1-20/
Средства чистящие универсальные;БХ-1793;Порошок чистящий универсальный   400г SANITA СОДА ЭФФЕКТ ПЭТ   ''СХЗ''   1/20;40.58;http://almin.ru/goods/poroshok-chistyashchiy-400g-sanita-soda-effekt-pet-skhz-1-20/
Средства чистящие универсальные;БХ-0021;Порошок чистящий универсальный   400г ПЕМОСУПЕР АНТИРЖАВЧИНА ПЭТ   ''СХЗ''   1/20;36.44;http://almin.ru/goods/poroshok-chistyashchiy-400g-pemosuper-antirzhavchina-pet-skhz-1-20/
Средства чистящие универсальные;БХ-2786;Порошок чистящий универсальный   400г ЧИСТИН АНТИРЖАВЧИНА ПЭТ   ''СХЗ''   1/20;38.29;http://almin.ru/goods/poroshok-chistyashchiy-400g-chistin-antirzhavchina-pet-skhz-1-20/
Средства чистящие универсальные;БХ-0327;Порошок чистящий универсальный   400г ЧИСТИН ПЭТ ЯБЛОКО   ''СХЗ''   1/20;27.11;http://almin.ru/goods/poroshok-chistyashchiy-universalnyy-400g-chistin-pet-yabloko-skhz-1-20/
Средства чистящие универсальные;БХ-1769;Порошок чистящий универсальный   400г ПЕМОСУПЕР АНТИЖИР ПЭТ   ''СХЗ''   1/20;36.44;http://almin.ru/goods/poroshok-chistyashchiy-400g-pemosuper-antizhir-pet-skhz-1-20/
Средства чистящие универсальные;БХ-0020;Порошок чистящий универсальный   400г ПЕМОСУПЕР АНТИМИКРОБНЫЙ ПЭТ   ''СХЗ''   1/20;36.44;http://almin.ru/goods/poroshok-chistyashchiy-400g-pemosuper-antimikrobnyy-pet-skhz-1-20/
Средства чистящие универсальные;БХ-3207;Средство чистящее универсальное   300мл SANITA крем СИЦИЛИЙСКИЙ ЛИМОН   ''СХЗ''   1/20;55.39;http://almin.ru/goods/sredstvo-chistyashchee-universalnoe-300ml-sanita-krem-sitsiliyskiy-limon-skhz-1-20/
Средства чистящие универсальные;БХ-1794;Порошок чистящий универсальный   400г SANITA ДВОЙНОЙ ЭФФЕКТ ПЭТ   ''СХЗ''   1/20;40.58;http://almin.ru/goods/poroshok-chistyashchiy-400g-sanita-dvoynoy-effekt-pet-skhz-1-20/
Средства чистящие универсальные;БХ-0223;Порошок чистящий универсальный   400г ПЕМОКСОЛЬ ПЭТ ЯБЛОКО   ''СХЗ''   1/20;37.17;http://almin.ru/goods/poroshok-chistyashchiy-universalnyy-400g-pemoksol-pet-yabloko-skhz-1-20/
Средства чистящие универсальные;БХ-2760;Порошок чистящий универсальный   400г ЧИСТИН ПЭТ СИРЕНЬ   ''СХЗ''   1/20;27.11;http://almin.ru/goods/poroshok-chistyashchiy-universalnyy-400g-chistin-pet-siren-skhz-1-20/
Средства чистящие универсальные;БХ-0071;Порошок чистящий универсальный   400г ЧИСТИН ПЭТ ЛАНДЫШ   ''СХЗ''   1/20;27.11;http://almin.ru/goods/poroshok-chistyashchiy-universalnyy-400g-chistin-pet-landysh-skhz-1-20/
Средства чистящие универсальные;БХ-2965;Средство чистящее универсальное   5л ЧИСТИН канистра   ''СХЗ''   1/1;304.92;http://almin.ru/goods/sredstvo-chistyashchee-universalnoe-5l-chistin-kanistra-skhz-1-1/
Средства чистящие универсальные;БХ-170317;Средство чистящее универсальное   400мл CHIRTON MULTI SURFACE CLEANER курок   ''GD''   1/12;47.73;http://almin.ru/goods/sredstvo-chistyashchee-universalnoe-400ml-chirton-multi-surface-cleaner-kurok-gd-1-12/
Бумага туалетная в профессиональных рулонах;KC-8515;Бумага туалетная   Н95хD300 мм 2-сл 250 м в рулоне KLEENEX БЕЛАЯ   ''KIMBERLY-CLARK''   1/6;403.76;http://almin.ru/goods/bumaga-tualetnaya-n95khd300-mm-2-sl-250-m-v-rulone-kleenex-belaya-kimberly-clark-1-6/
Бумага туалетная в профессиональных рулонах;KC-8512;Бумага туалетная   Н95хD380 мм 2-сл 200 м в рулоне SCOTT БЕЛАЯ   ''KIMBERLY-CLARK''   1/12;246.58;http://almin.ru/goods/bumaga-tualetnaya-n95khd380-mm-2-sl-200-m-v-rulone-scott-belaya-kimberly-clark-1-12/
Бумага туалетная в профессиональных рулонах;AL-810428;Бумага туалетная   Н100хD160 мм 1-сл 200 м/рул СЕРАЯ   1/12;22.35;http://almin.ru/goods/bumaga-tualetnaya-n100khd160-mm-1-sl-200-m-rul-naturalno-belaya-zigzag-1-12/
Бумага туалетная в профессиональных рулонах;L-297493;Бумага туалетная   Н140хD245 мм 2-сл 207 м/рул TORK T8 SMARTONE ADVANCED (арт. 472242) с серым тиснением БЕЛАЯ   ''SCA''   1/6;324.80;http://almin.ru/goods/bumaga-tualetnaya-n140khd245-mm-2-sl-207-m-rul-tork-smartone-advanced-art-472242-belaya-sca-1-6/
Бумага туалетная в профессиональных рулонах;L-2974920;Бумага туалетная   Н134хD145 мм 2-сл 111 м/рул TORK T9 SMARTONE ADVANCED (арт. 472193) с серым тиснением БЕЛАЯ   ''SCA''   1/12;191.59;http://almin.ru/goods/bumaga-tualetnaya-n134khd145-mm-2-sl-111-m-rul-tork-smartone-advanced-art-472193-belaya-sca-1-12/
Бумага туалетная в профессиональных рулонах;Т-120197;Бумага туалетная   Н100хD160 мм 1-сл 200 м/рул TORK T2 UNIVERSAL НАТУРАЛЬНО-БЕЛАЯ   ''SCA''   1/12;66.36;http://almin.ru/goods/bumaga-tualetnaya-n100khd160-mm-1-sl-200-m-rul-tork-universal-naturalno-belaya-sca-1-12/
Бумага туалетная в профессиональных рулонах;T-120195;Бумага туалетная   Н100хD250 мм 1-сл 525 м/рул TORK T1 UNIVERSAL НАТУРАЛЬНО-БЕЛАЯ   ''SCA''   1/6;153.02;http://almin.ru/goods/bumaga-tualetnaya-n100khd250-mm-1-sl-525-m-rul-tork-universal-naturalno-belaya-sca-1-6/
Бумага туалетная в профессиональных рулонах;AL-810824;Бумага туалетная   Н90хD210 мм 1-сл 525 м/рул НАТУРАЛЬНО-БЕЛАЯ   1/6;91.02;http://almin.ru/goods/bumaga-tualetnaya-n90khd210-mm-1-sl-525-m-rul-fioletovaya-belaya-zigzag-1-6/
Бумага туалетная в профессиональных рулонах;KC-8002;Бумага туалетная   Н90хD250 мм 1-сл 525 м в рулоне HOSTESS НАТУРАЛЬНО-БЕЛАЯ   ''KIMBERLY-CLARK''   1/6;452.79;http://almin.ru/goods/bumaga-tualetnaya-n90khd250-mm-1-sl-525-m-v-rulone-hostess-naturalno-belaya-kimberly-clark-1-6/
Бумага туалетная в профессиональных рулонах;T-127530;Бумага туалетная   Н99хD130 мм 2-сл 100 м/рул TORK T6 ADVANCED с серым тиснением БЕЛАЯ   ''SCA''   1/27;122.22;http://almin.ru/goods/bumaga-tualetnaya-n99khd130-mm-2-sl-100-m-rul-tork-advanced-s-serym-tisneniem-belaya-sca-1-27/
Бумага туалетная в профессиональных рулонах;T-127520;Бумага туалетная   Н99хD130 мм 2-сл 90 м/рул TORK T6 PREMIUM с голубым тиснением БЕЛАЯ   ''SCA''   1/27;120.75;http://almin.ru/goods/bumaga-tualetnaya-n99khd130-mm-2-sl-90-m-rul-tork-premium-s-golubym-tisneniem-belaya-sca-1-27/
Бумага туалетная в профессиональных рулонах;T-127540;Бумага туалетная   Н99хD130 мм 1-сл 135 м/рул TORK T6 UNIVERSAL БЕЛАЯ   ''SCA''   1/27;119.21;http://almin.ru/goods/bumaga-tualetnaya-n99khd130-mm-1-sl-135-m-rul-tork-universal-belaya-sca-1-27/
Бумага туалетная в профессиональных рулонах;Г-280512;Бумага туалетная   Н100хD140 мм 1-сл 160 м/рул СЕРАЯ   ''РР''   1/18;15.61;http://almin.ru/goods/bumaga-tualetnaya-n100khd140-mm-1-sl-160-m-rul-naturalno-belaya-rr-1-18/
Бумага туалетная в профессиональных рулонах;Г-120197;Бумага туалетная   Н100хD160 мм 1-сл 200 м/рул БЕЛАЯ   1/12;39.22;http://almin.ru/goods/bumaga-tualetnaya-n100khd160-mm-1-sl-200-m-rul-belaya-rr-1-12/
Бумага туалетная в профессиональных рулонах;T-120231;Бумага туалетная   Н97хD190 мм 2-сл 170 м/рул TORK T2 ADVANCED с серым тиснением БЕЛАЯ   ''SCA''   1/12;139.30;http://almin.ru/goods/bumaga-tualetnaya-n97khd190-mm-2-sl-170-m-rul-tork-advanced-s-serym-tisneniem-belaya-sca-1-12/
Бумага туалетная в профессиональных рулонах;T-120243;Бумага туалетная   Н97хD190 мм 2-сл 170 м/рул TORK T2 PREMIUM с голубым тиснением   ''SCA''   1/12;200.90;http://almin.ru/goods/bumaga-tualetnaya-n97khd190-mm-2-sl-170-m-rul-tork-premium-s-golubym-tisneniem-sca-1-12/
Бумага туалетная в профессиональных рулонах;Г-810831;Бумага туалетная   Н100хD160 мм 2-сл 200 м/рул НАТУРАЛЬНО-БЕЛАЯ   1/12;83.18;http://almin.ru/goods/bumaga-tualetnaya-n100khd160-mm-2-sl-200-m-rul-belaya-1-12/
Бумага туалетная в профессиональных рулонах;H-5043340;Бумага туалетная   Н95хD155 мм 1-сл 200 м/рул FOCUS JUMBO MINI БЕЛАЯ   ''HAYAT''   1/12;58.94;http://almin.ru/goods/bumaga-tualetnaya-n95khd155-mm-1-sl-200-m-rul-focus-jumbo-mini-belaya-hayat-1-12/
